PERMITTED_VALUE	LONG_NAME	DEFINITION
0-6 hr	0-6 hr	The difference between the lowest and highest numerical values; the limits or scale of variation.: A number with no fractional part, including the negative and positive numbers as well as zero.::0-6: A unit measure of time equal to 3,600 seconds or 60 minutes. It is approximately 1/24 of a median day.
0.5 hour (during infusion)	0.5 hour (during infusion)	A number with no fractional part, including the negative and positive numbers as well as zero.::0.5: A unit measure of time equal to 3,600 seconds or 60 minutes. It is approximately 1/24 of a median day.
0.5 hr post dose	0.5 hr post dose	0.5 hr post dose
1	1	The smallest natural number and quantity it denotes: a single entity, unit, or object.
1 Month After Starting Study Agent	One Month Post Protocol Agent Begin	The smallest natural number and quantity it denotes: a single entity, unit, or object._One of the 12 divisions of a year as determined by a calendar. It corresponds to the unit of time of approximately to one cycle of the moon's phases, about 30 days or 4 weeks._Happening at a time subsequent to a reference time; later in time or order._A medical product, practice, or application that is tested in a clinical trial._Have a beginning, in a temporal, spatial, or evaluative sense; the point in space or time where something begins.
1 Month After Visit 1	One Month Post Visit One	The smallest natural number and quantity it denotes: a single entity, unit, or object._One of the 12 divisions of a year as determined by a calendar. It corresponds to the unit of time of approximately to one cycle of the moon's phases, about 30 days or 4 weeks._Happening at a time subsequent to a reference time; later in time or order._The act of going to see some person or place or thing; it can cover a short or long period but refers to a non-permanent arrangement._The smallest natural number and quantity it denotes: a single entity, unit, or object.
1 Month After Visit 2	One Month Post Visit Two	The smallest natural number and quantity it denotes: a single entity, unit, or object._One of the 12 divisions of a year as determined by a calendar. It corresponds to the unit of time of approximately to one cycle of the moon's phases, about 30 days or 4 weeks._Happening at a time subsequent to a reference time; later in time or order._The act of going to see some person or place or thing; it can cover a short or long period but refers to a non-permanent arrangement._A natural number greater than 1 and less than 3 and the quantity that it denotes: the sum of one and one.
1 Week After Starting Study Agent	One Week Post Protocol Agent Begin	The smallest natural number and quantity it denotes: a single entity, unit, or object._Any period of seven consecutive days._Happening at a time subsequent to a reference time; later in time or order._A medical product, practice, or application that is tested in a clinical trial._Have a beginning, in a temporal, spatial, or evaluative sense; the point in space or time where something begins.
1 hour (during infusion)	1 hour (during infusion)	The smallest natural number and quantity it denotes: a single entity, unit, or object.: A unit measure of time equal to 3,600 seconds or 60 minutes. It is approximately 1/24 of a median day.
1 hour after infusion start	1 hour after infusion start	1 hour after infusion start
1 hour post start of Triapine (3AP) infusion (IV)	1 hour post start of Triapine (3AP) infusion (IV)	1 hour post start of Triapine (3AP) infusion (IV)
1 month post RT Completion	1 month post RT Completion	1 month post RT Completion
1 year	1 year	The smallest natural number and quantity it denotes: a single entity, unit, or object.: A period of time that it takes for Earth to make a complete revolution around the sun, approximately 365 days; a specific one year period.
1 year from start of treatment	1 year from start of treatment	1 year from start of treatment
1 year post RT Completion	1 year post RT Completion	1 year post RT Completion
1.5 h (during infusion)	1.5 h (during infusion)	1.5 h (during infusion)
1.5 hr post dose	1.5 hr post dose	1.5 hr post dose
10 hours post dose	10 hours post dose	10 hours post dose
10 months	Ten Month	A natural number greater than 9 and less than 11 and the quantity that it denotes: the sum of nine and one._One of the 12 divisions of a year as determined by a calendar. It corresponds to the unit of time of approximately to one cycle of the moon's phases, about 30 days or 4 weeks.
10 weeks	Week 10	A natural number greater than 9 and less than 11 and the quantity that it denotes: the sum of nine and one.: Any period of seven consecutive days.
10 years	10 years	A natural number greater than 9 and less than 11 and the quantity that it denotes: the sum of nine and one.: A period of time that it takes for Earth to make a complete revolution around the sun, approximately 365 days; a specific one year period.
10-Week Post-Treatment FU	10-Week Post-Treatment FU	10-Week Post-Treatment FU
104 weeks	104 weeks	104 weeks
108 weeks	One Hundred Eight Week	A natural number greater than 107 and less than 109 and the quantity that it denotes._Any period of seven consecutive days.
11 weeks	Week 11	A natural number greater than 10 and less than 12 and the quantity that it denotes.: Any period of seven consecutive days.
116 weeks	116 weeks	116 weeks
